Finishing Time,ITRA Score
46:26:12,407
46:26:55,508
46:26:58,493
46:27:13,422
46:27:56,484
46:27:56,487
46:27:57,461
46:28:06,404
46:28:10,555
46:28:26,457
46:28:35,443
46:28:58,434
46:29:51,518
46:30:00,435
46:30:13,401
46:30:21,442
46:30:22,477
46:30:23,488
46:30:49,427
46:30:51,481
46:31:25,478
46:31:55,478
46:31:55,468
46:32:00,495
46:32:00,383
46:32:01,413
46:32:41,539
46:32:54,408
46:33:14,470
46:33:14,452
46:33:16,502
46:33:17,541
46:33:21,516
46:33:21,486
46:33:30,434
46:33:44,443
46:33:57,382
46:34:07,438
46:34:12,433
46:34:21,444
46:34:22,473
46:34:51,462
46:35:18,465
46:35:34,454
46:35:46,413
46:35:54,433
46:36:41,443
46:37:00,492
46:37:37,551
46:37:45,531
46:37:47,513
46:37:48,425
46:37:49,383
46:37:58,601
46:38:16,395
46:38:19,381
46:38:37,447
46:38:37,408
46:38:43,382
46:39:15,426
46:39:27,498
46:39:27,457
46:39:33,442
46:39:34,436
46:39:46,428
46:40:02,396
46:40:23,447
46:43:18,552
46:43:25,389
46:43:31,439
46:43:31,415
46:43:34,506
46:43:40,468
46:43:51,549
46:43:57,432
46:44:03,404
46:50:40,411
46:53:46,404
46:54:19,455
46:55:05,462
46:56:00,477
46:57:24,420
47:05:00,452
